Source,Date,Name,Job Title,Work Phone Number,Whatsapp Number,work_email,Company Name,Timeline for Instrument Issuance,Annual Requirement of Such Instruments,Annual Turnover of Your Company(USD),under_which_category_you_wants_us_to_recognize,which_instruments_you_are_looking,value_of_the_instrument_you_are_looking,Additional Information You'd Like to Share,city,Country,Assigned date,Assigned person,Sales Email Id,Reporting Name,Reporting TFS
Facebook Ads,27/10/2038,Udhaya16,Founder and Owner,254 751335685,97 9873032727,2baleminingcompanyltd@gmail.com,Bale Mining company,below_10_days,6_-_10_instruments_per_year,test,exporter,Letter_Of_Credit,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2038,Mary Jakait,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2039,Udhaya17,Founder and Owner,254 113512599,98 9873032727,2mudu78078@gmail.com,Asad,below_10_days,6_-_10_instruments_per_year,test,exporter,Letter of Credit,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2039,Caren Kihia,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2039,Udhaya18,Founder and Owner,254 113512599,98 9873032727,H1@gmail.com,Asad,below_10_days,6_-_10_instruments_per_year,test,exporter,Letter of Credit,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2039,Caren Kihia,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2039,Udhaya19,Founder and Owner,254 113512599,98 9873032727,h2@gmail.com,Asad,below_10_days,6_-_10_instruments_per_year,test,exporter,Letter of Credit,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2039,Caren Kihia,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2024,Udhaya20,,258 852068412,258 862240083,H3@gmail.com,Self-Employed,,,,other,financial_bank_gaurantee,1_million_usd_to_2_million_usd,test,Beira,Mozambique,27/10/2024,Didymus Mareya,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2024,Udhaya21,-,258 852068412,258 862240083,H4@gmail.com,Instituto Nacional de Estatística,30_days_&_above,1_-_5_instruments_per_year,test,other,financial_bank_gaurantee,1_million_usd_to_2_million_usd,test,Beira,Mozambique,27/10/2024,Didymus Mareya,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2025,Udhaya22,Owner,267 77740890,26777740890,H5@gmail.com,Normalta investments pty(ltd),30_days_&_above,10_instruments_&_above_per_year,test,exporter,performance_guarantee,500000_usd_to_one_million_usd,test,Gaborone,Botswana,27/10/2025,Marco Ruiz,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2026,Udhaya23,Owner,251 910000329,251 917428286,H6@gmail.com,Normalta investments pty(ltd),30_days_&_above,6_-_10_instruments_per_year,test,online_business,merchant_account_/_payment_gateway,100000_usd_to_500000_usd,test,Asosa,Ethiopia,27/10/2026,Alemayehu Wakuma,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2027,Udhaya24,MD,234 9116563845,234 9116563845,H7@gmail.com,"Ste, Oboss Trading Enterprises",30_days_&_above,10_instruments_&_above_per_year,test,importer,tender_guarantee,100000_usd_to_500000_usd,test,Aba,Nigeria,27/10/2027,Abdou Sambou,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2028,Udhaya25,MD,91 9992611153,91 9992611153,H8@gmail.com,"Ste, Oboss Trading Enterprises",below_10_days,1_-_5_instruments_per_year,test,trader,letter_of_credit,100000_usd_to_500000_usd,test,Hisar,India,27/10/2028,Sakshi Bhatia,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2029,Udhaya26,Founder,91 7040954870,91 7030954870,H9@gmail.com,"Ste, Oboss Trading Enterprises",below_10_days,1_-_5_instruments_per_year,test,exporter,letter_of_credit,100000_usd_to_500000_usd,test,Mumbai,India,27/10/2029,Sudhakara Kempaiah,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2030,Udhaya27,Import Export,91 9811128838,91 9811128838,H10@gmail.com,Singhal Traders,15_-_30_days,10_instruments_&_above_per_year,test,exporter,letter_of_credit,500000_usd_to_one_million_usd,test,New Delhi,India,27/10/2030,Shruti Desai,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2031,Udhaya28,Export,91 9528562903,91 9528562903,H11@gmail.com,Indian agro overseas,30_days_&_above,1_-_5_instruments_per_year,test,exporter,usance_letter_of_credit,100000_usd_to_500000_usd,test,Agra,India,27/10/2031,Sravani Valivarthi,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2032,Udhaya29,Sole proprietorship,91 9873032727,91 9873032727,H12@gmail.com,Gtc,below_10_days,6_-_10_instruments_per_year,test,exporter,letter_of_credit,100000_usd_to_500000_usd,test,Delhi,India,27/10/2032,Dhaval Patel,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2033,Udhaya30,Business,254 715412481,92 9873032727,H13@gmail.com,Marsabit county company,below_10_days,6_-_10_instruments_per_year,test,exporter,Offshore Account,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2033,Kipkurui Labatt,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2034,Udhaya31,Manager,254 733957818,93 9873032727,H14@gmail.com,ballanjoy,below_10_days,6_-_10_instruments_per_year,test,exporter,Financial_Bank_Gaurantee,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2034,Ndiritu Kariuki,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2035,Udhaya32,director,254 729000000,94 9873032727,H15@gmail.com,stesilenterpriseslimited,below_10_days,6_-_10_instruments_per_year,test,exporter,Financial_Bank_Gaurantee,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2035,Peter Ndungu,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2036,Udhaya33,director,254 716652800,95 9873032727,H16@gmail.com,Essy kims salon,below_10_days,6_-_10_instruments_per_year,test,exporter,Letter of Credit,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2036,Polycap Mayieka,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2037,Udhaya34,director,254 713955617,96 9873032727,H17@gmail.com,Najah,below_10_days,6_-_10_instruments_per_year,test,exporter,Letter of Credit,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2037,Samuel Nduta,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2038,Udhaya35,Founder and Owner,254 751335685,97 9873032727,H18@gmail.com,Bale Mining company,below_10_days,6_-_10_instruments_per_year,test,exporter,Letter_Of_Credit,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2038,Mary Jakait,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2039,Udhaya36,Founder and Owner,254 113512599,98 9873032727,H19@gmail.com,Asad,below_10_days,6_-_10_instruments_per_year,test,exporter,Letter of Credit,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2039,Caren Kihia,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2039,Udhaya37,Founder and Owner,254 113512599,98 9873032727,H20@gmail.com,Asad,below_10_days,6_-_10_instruments_per_year,test,exporter,Letter of Credit,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2039,Caren Kihia,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2039,Udhaya38,Founder and Owner,254 113512599,98 9873032727,H21@gmail.com,Asad,below_10_days,6_-_10_instruments_per_year,test,exporter,Letter of Credit,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2039,Caren Kihia,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2024,Udhaya39,,258 852068412,258 862240083,H22@gmail.com,Self-Employed,,,,other,financial_bank_gaurantee,1_million_usd_to_2_million_usd,test,Beira,Mozambique,27/10/2024,Didymus Mareya,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2024,Udhaya40,-,258 852068412,258 862240083,H23@gmail.com,Instituto Nacional de Estatística,30_days_&_above,1_-_5_instruments_per_year,test,other,financial_bank_gaurantee,1_million_usd_to_2_million_usd,test,Beira,Mozambique,27/10/2024,Didymus Mareya,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2025,Udhaya41,Owner,267 77740890,26777740890,H24@gmail.com,Normalta investments pty(ltd),30_days_&_above,10_instruments_&_above_per_year,test,exporter,performance_guarantee,500000_usd_to_one_million_usd,test,Gaborone,Botswana,27/10/2025,Marco Ruiz,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2026,Udhaya42,Owner,251 910000329,251 917428286,H25@gmail.com,Normalta investments pty(ltd),30_days_&_above,6_-_10_instruments_per_year,test,online_business,merchant_account_/_payment_gateway,100000_usd_to_500000_usd,test,Asosa,Ethiopia,27/10/2026,Alemayehu Wakuma,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2027,Udhaya43,MD,234 9116563845,234 9116563845,H26@gmail.com,"Ste, Oboss Trading Enterprises",30_days_&_above,10_instruments_&_above_per_year,test,importer,tender_guarantee,100000_usd_to_500000_usd,test,Aba,Nigeria,27/10/2027,Abdou Sambou,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2028,Udhaya44,MD,91 9992611153,91 9992611153,H27@gmail.com,"Ste, Oboss Trading Enterprises",below_10_days,1_-_5_instruments_per_year,test,trader,letter_of_credit,100000_usd_to_500000_usd,test,Hisar,India,27/10/2028,Sakshi Bhatia,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2029,Udhaya45,Founder,91 7040954870,91 7030954870,H28@gmail.com,"Ste, Oboss Trading Enterprises",below_10_days,1_-_5_instruments_per_year,test,exporter,letter_of_credit,100000_usd_to_500000_usd,test,Mumbai,India,27/10/2029,Sudhakara Kempaiah,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2030,Udhaya46,Import Export,91 9811128838,91 9811128838,H29@gmail.com,Singhal Traders,15_-_30_days,10_instruments_&_above_per_year,test,exporter,letter_of_credit,500000_usd_to_one_million_usd,test,New Delhi,India,27/10/2030,Shruti Desai,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2031,Udhaya47,Export,91 9528562903,91 9528562903,H30@gmail.com,Indian agro overseas,30_days_&_above,1_-_5_instruments_per_year,test,exporter,usance_letter_of_credit,100000_usd_to_500000_usd,test,Agra,India,27/10/2031,Sravani Valivarthi,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2032,Udhaya48,Sole proprietorship,91 9873032727,91 9873032727,H31@gmail.com,Gtc,below_10_days,6_-_10_instruments_per_year,test,exporter,letter_of_credit,100000_usd_to_500000_usd,test,Delhi,India,27/10/2032,Dhaval Patel,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2033,Udhaya49,Business,254 715412481,92 9873032727,H32@gmail.com,Marsabit county company,below_10_days,6_-_10_instruments_per_year,test,exporter,Offshore Account,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2033,Kipkurui Labatt,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2034,Udhaya50,Manager,254 733957818,93 9873032727,H33@gmail.com,ballanjoy,below_10_days,6_-_10_instruments_per_year,test,exporter,Financial_Bank_Gaurantee,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2034,Ndiritu Kariuki,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2035,Udhaya51,director,254 729000000,94 9873032727,H34@gmail.com,stesilenterpriseslimited,below_10_days,6_-_10_instruments_per_year,test,exporter,Financial_Bank_Gaurantee,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2035,Peter Ndungu,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2036,Udhaya52,director,254 716652800,95 9873032727,H35@gmail.com,Essy kims salon,below_10_days,6_-_10_instruments_per_year,test,exporter,Letter of Credit,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2036,Polycap Mayieka,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2037,Udhaya53,director,254 713955617,96 9873032727,H36@gmail.com,Najah,below_10_days,6_-_10_instruments_per_year,test,exporter,Letter of Credit,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2037,Samuel Nduta,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2038,Udhaya54,Founder and Owner,254 751335685,97 9873032727,H37@gmail.com,Bale Mining company,below_10_days,6_-_10_instruments_per_year,test,exporter,Letter_Of_Credit,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2038,Mary Jakait,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2039,Udhaya55,Founder and Owner,254 113512599,98 9873032727,H38@gmail.com,Asad,below_10_days,6_-_10_instruments_per_year,test,exporter,Letter of Credit,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2039,Caren Kihia,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2039,Udhaya56,Founder and Owner,254 113512599,98 9873032727,H39@gmail.com,Asad,below_10_days,6_-_10_instruments_per_year,test,exporter,Letter of Credit,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2039,Caren Kihia,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2039,Udhaya57,Founder and Owner,254 113512599,98 9873032727,H40@gmail.com,Asad,below_10_days,6_-_10_instruments_per_year,test,exporter,Letter of Credit,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2039,Caren Kihia,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2024,Udhaya58,-,258 852068412,258 862240083,H41@gmail.com,Instituto Nacional de Estatística,30_days_&_above,1_-_5_instruments_per_year,test,other,financial_bank_gaurantee,1_million_usd_to_2_million_usd,test,Beira,Mozambique,27/10/2024,Didymus Mareya,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2025,Udhaya59,Owner,267 77740890,26777740890,H42@gmail.com,Normalta investments pty(ltd),30_days_&_above,10_instruments_&_above_per_year,test,exporter,performance_guarantee,500000_usd_to_one_million_usd,test,Gaborone,Botswana,27/10/2025,Marco Ruiz,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2026,Udhaya60,Owner,251 910000329,251 917428286,H43@gmail.com,Normalta investments pty(ltd),30_days_&_above,6_-_10_instruments_per_year,test,online_business,merchant_account_/_payment_gateway,100000_usd_to_500000_usd,test,Asosa,Ethiopia,27/10/2026,Alemayehu Wakuma,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2027,Udhaya61,MD,234 9116563845,234 9116563845,H44@gmail.com,"Ste, Oboss Trading Enterprises",30_days_&_above,10_instruments_&_above_per_year,test,importer,tender_guarantee,100000_usd_to_500000_usd,test,Aba,Nigeria,27/10/2027,Abdou Sambou,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2028,Udhaya62,MD,91 9992611153,91 9992611153,H45@gmail.com,"Ste, Oboss Trading Enterprises",below_10_days,1_-_5_instruments_per_year,test,trader,letter_of_credit,100000_usd_to_500000_usd,test,Hisar,India,27/10/2028,Sakshi Bhatia,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2029,Udhaya63,Founder,91 7040954870,91 7030954870,H46@gmail.com,"Ste, Oboss Trading Enterprises",below_10_days,1_-_5_instruments_per_year,test,exporter,letter_of_credit,100000_usd_to_500000_usd,test,Mumbai,India,27/10/2029,Sudhakara Kempaiah,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2030,Udhaya64,Import Export,91 9811128838,91 9811128838,H47@gmail.com,Singhal Traders,15_-_30_days,10_instruments_&_above_per_year,test,exporter,letter_of_credit,500000_usd_to_one_million_usd,test,New Delhi,India,27/10/2030,Shruti Desai,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2031,Udhaya65,Export,91 9528562903,91 9528562903,H48@gmail.com,Indian agro overseas,30_days_&_above,1_-_5_instruments_per_year,test,exporter,usance_letter_of_credit,100000_usd_to_500000_usd,test,Agra,India,27/10/2031,Sravani Valivarthi,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2032,Udhaya66,Sole proprietorship,91 9873032727,91 9873032727,H49@gmail.com,Gtc,below_10_days,6_-_10_instruments_per_year,test,exporter,letter_of_credit,100000_usd_to_500000_usd,test,Delhi,India,27/10/2032,Dhaval Patel,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2033,Udhaya67,Business,254 715412481,92 9873032727,H50@gmail.com,Marsabit county company,below_10_days,6_-_10_instruments_per_year,test,exporter,Offshore Account,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2033,Kipkurui Labatt,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2034,Udhaya68,Manager,254 733957818,93 9873032727,H51@gmail.com,ballanjoy,below_10_days,6_-_10_instruments_per_year,test,exporter,Financial_Bank_Gaurantee,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2034,Ndiritu Kariuki,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2035,Udhaya69,director,254 729000000,94 9873032727,H52@gmail.com,stesilenterpriseslimited,below_10_days,6_-_10_instruments_per_year,test,exporter,Financial_Bank_Gaurantee,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2035,Peter Ndungu,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2036,Udhaya70,director,254 716652800,95 9873032727,H53@gmail.com,Essy kims salon,below_10_days,6_-_10_instruments_per_year,test,exporter,Letter of Credit,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2036,Polycap Mayieka,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2037,Udhaya71,director,254 713955617,96 9873032727,H54@gmail.com,Najah,below_10_days,6_-_10_instruments_per_year,test,exporter,Letter of Credit,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2037,Samuel Nduta,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2038,Udhaya72,Founder and Owner,254 751335685,97 9873032727,H55@gmail.com,Bale Mining company,below_10_days,6_-_10_instruments_per_year,test,exporter,Letter_Of_Credit,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2038,Mary Jakait,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2039,Udhaya73,Founder and Owner,254 113512599,98 9873032727,H56@gmail.com,Asad,below_10_days,6_-_10_instruments_per_year,test,exporter,Letter of Credit,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2039,Caren Kihia,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2039,Udhaya74,Founder and Owner,254 113512599,98 9873032727,H57@gmail.com,Asad,below_10_days,6_-_10_instruments_per_year,test,exporter,Letter of Credit,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2039,Caren Kihia,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2039,Udhaya75,Founder and Owner,254 113512599,98 9873032727,H58@gmail.com,Asad,below_10_days,6_-_10_instruments_per_year,test,exporter,Letter of Credit,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2039,Caren Kihia,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2024,Udhaya76,,258 852068412,258 862240083,H59@gmail.com,Self-Employed,,,,other,financial_bank_gaurantee,1_million_usd_to_2_million_usd,test,Beira,Mozambique,27/10/2024,Didymus Mareya,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2024,Udhaya77,-,258 852068412,258 862240083,H60@gmail.com,Instituto Nacional de Estatística,30_days_&_above,1_-_5_instruments_per_year,test,other,financial_bank_gaurantee,1_million_usd_to_2_million_usd,test,Beira,Mozambique,27/10/2024,Didymus Mareya,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2025,Udhaya78,Owner,267 77740890,26777740890,H61@gmail.com,Normalta investments pty(ltd),30_days_&_above,10_instruments_&_above_per_year,test,exporter,performance_guarantee,500000_usd_to_one_million_usd,test,Gaborone,Botswana,27/10/2025,Marco Ruiz,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2026,Udhaya79,Owner,251 910000329,251 917428286,H62@gmail.com,Normalta investments pty(ltd),30_days_&_above,6_-_10_instruments_per_year,test,online_business,merchant_account_/_payment_gateway,100000_usd_to_500000_usd,test,Asosa,Ethiopia,27/10/2026,Alemayehu Wakuma,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2027,Udhaya80,MD,234 9116563845,234 9116563845,H63@gmail.com,"Ste, Oboss Trading Enterprises",30_days_&_above,10_instruments_&_above_per_year,test,importer,tender_guarantee,100000_usd_to_500000_usd,test,Aba,Nigeria,27/10/2027,Abdou Sambou,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2028,Udhaya81,MD,91 9992611153,91 9992611153,H64@gmail.com,"Ste, Oboss Trading Enterprises",below_10_days,1_-_5_instruments_per_year,test,trader,letter_of_credit,100000_usd_to_500000_usd,test,Hisar,India,27/10/2028,Sakshi Bhatia,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2029,Udhaya82,Founder,91 7040954870,91 7030954870,H65@gmail.com,"Ste, Oboss Trading Enterprises",below_10_days,1_-_5_instruments_per_year,test,exporter,letter_of_credit,100000_usd_to_500000_usd,test,Mumbai,India,27/10/2029,Sudhakara Kempaiah,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2030,Udhaya83,Import Export,91 9811128838,91 9811128838,H66@gmail.com,Singhal Traders,15_-_30_days,10_instruments_&_above_per_year,test,exporter,letter_of_credit,500000_usd_to_one_million_usd,test,New Delhi,India,27/10/2030,Shruti Desai,sales1@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2031,Udhaya84,Export,91 9528562903,91 9528562903,H67@gmail.com,Indian agro overseas,30_days_&_above,1_-_5_instruments_per_year,test,exporter,usance_letter_of_credit,100000_usd_to_500000_usd,test,Agra,India,27/10/2031,Sravani Valivarthi,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2032,Udhaya85,Sole proprietorship,91 9873032727,91 9873032727,H68@gmail.com,Gtc,below_10_days,6_-_10_instruments_per_year,test,exporter,letter_of_credit,100000_usd_to_500000_usd,test,Delhi,India,27/10/2032,Dhaval Patel,sales2@euroeximbank-sales.com,test,test
Facebook Ads,27/10/2033,Udhaya86,Business,254 715412481,92 9873032727,H69@gmail.com,Marsabit county company,below_10_days,6_-_10_instruments_per_year,test,exporter,Offshore Account,100000_usd_to_500000_usd,test,Delhi,Kenya,27/10/2033,Kipkurui Labatt,sales2@euroeximbank-sales.com,test,test
