Source,Date,Name,Job Title,Work Phone Number,Whatsapp Number,work_email,Company Name,Timeline for Instrument Issuance,Annual Requirement of Such Instruments,Annual Turnover of Your Company(USD),under_which_category_you_wants_us_to_recognize,which_instruments_you_are_looking,value_of_the_instrument_you_are_looking,Additional Information You'd Like to Share,city,Country,Assigned date,Assigned person,Sales Email Id,Reporting Name,Reporting TFS
Website,03/04/2024,sanjay17,test17,85206857,86224017,sanjay17@gmail.in,Self-Employed17,170 days,nothig17,1_usd ,test,financial_bank_gaurante,othe5,testother17,Beira17,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay18,test18,85206858,86224018,sanjay18@gmail.in,Self-Employed18,180 days,nothig18,2_usd,test,financial_bank_gaurante,othe6,testother18,Beira18,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay19,test19,85206859,86224019,sanjay19@gmail.in,Self-Employed19,190 days,nothig19,1_usd ,test,financial_bank_gaurante,othe7,testother19,Beira19,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay20,test20,85206860,86224020,sanjay20@gmail.in,Self-Employed20,200 days,nothig20,2_usd,test,financial_bank_gaurante,othe8,testother20,Beira20,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay21,test21,85206861,86224021,sanjay21@gmail.in,Self-Employed21,210 days,nothig21,1_usd ,test,financial_bank_gaurante,othe9,testother21,Beira21,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay22,test22,85206862,86224022,sanjay22@gmail.in,Self-Employed22,220 days,nothig22,2_usd,test,financial_bank_gaurante,othe10,testother22,Beira22,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay23,test23,85206863,86224023,sanjay23@gmail.in,Self-Employed23,230 days,nothig23,1_usd ,test,financial_bank_gaurante,othe11,testother23,Beira23,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay24,test24,85206864,86224024,sanjay24@gmail.in,Self-Employed24,240 days,nothig24,2_usd,test,financial_bank_gaurante,othe12,testother24,Beira24,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay25,test25,85206865,86224025,sanjay25@gmail.in,Self-Employed25,250 days,nothig25,1_usd ,test,financial_bank_gaurante,othe13,testother25,Beira25,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay26,test26,85206866,86224026,sanjay26@gmail.in,Self-Employed26,260 days,nothig26,2_usd,test,financial_bank_gaurante,othe14,testother26,Beira26,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay27,test27,85206867,86224027,sanjay27@gmail.in,Self-Employed27,270 days,nothig27,1_usd ,test,financial_bank_gaurante,othe15,testother27,Beira27,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay28,test28,85206868,86224028,sanjay28@gmail.in,Self-Employed28,280 days,nothig28,2_usd,test,financial_bank_gaurante,othe16,testother28,Beira28,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay29,test29,85206869,86224029,sanjay29@gmail.in,Self-Employed29,290 days,nothig29,1_usd ,test,financial_bank_gaurante,othe17,testother29,Beira29,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay30,test30,85206870,86224030,sanjay30@gmail.in,Self-Employed30,300 days,nothig30,2_usd,test,financial_bank_gaurante,othe18,testother30,Beira30,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay31,test31,85206871,86224031,sanjay31@gmail.in,Self-Employed31,310 days,nothig31,1_usd ,test,financial_bank_gaurante,othe19,testother31,Beira31,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay32,test32,85206872,86224032,sanjay32@gmail.in,Self-Employed32,320 days,nothig32,2_usd,test,financial_bank_gaurante,othe20,testother32,Beira32,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay33,test33,85206873,86224033,sanjay33@gmail.in,Self-Employed33,330 days,nothig33,1_usd ,test,financial_bank_gaurante,othe21,testother33,Beira33,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay34,test34,85206874,86224034,sanjay34@gmail.in,Self-Employed34,340 days,nothig34,2_usd,test,financial_bank_gaurante,othe22,testother34,Beira34,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay35,test35,85206875,86224035,sanjay35@gmail.in,Self-Employed35,350 days,nothig35,1_usd ,test,financial_bank_gaurante,othe23,testother35,Beira35,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay36,test36,85206876,86224036,sanjay36@gmail.in,Self-Employed36,360 days,nothig36,2_usd,test,financial_bank_gaurante,othe24,testother36,Beira36,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay37,test37,85206877,86224037,sanjay37@gmail.in,Self-Employed37,370 days,nothig37,1_usd ,test,financial_bank_gaurante,othe25,testother37,Beira37,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay38,test38,85206878,86224038,sanjay38@gmail.in,Self-Employed38,380 days,nothig38,2_usd,test,financial_bank_gaurante,othe26,testother38,Beira38,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay39,test39,85206879,86224039,sanjay39@gmail.in,Self-Employed39,390 days,nothig39,1_usd ,test,financial_bank_gaurante,othe27,testother39,Beira39,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay40,test40,85206880,86224040,sanjay40@gmail.in,Self-Employed40,400 days,nothig40,2_usd,test,financial_bank_gaurante,othe28,testother40,Beira40,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay41,test41,85206881,86224041,sanjay41@gmail.in,Self-Employed41,410 days,nothig41,1_usd ,test,financial_bank_gaurante,othe29,testother41,Beira41,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay42,test42,85206882,86224042,sanjay42@gmail.in,Self-Employed42,420 days,nothig42,2_usd,test,financial_bank_gaurante,othe30,testother42,Beira42,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay43,test43,85206883,86224043,sanjay43@gmail.in,Self-Employed43,430 days,nothig43,1_usd ,test,financial_bank_gaurante,othe31,testother43,Beira43,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay44,test44,85206884,86224044,sanjay44@gmail.in,Self-Employed44,440 days,nothig44,2_usd,test,financial_bank_gaurante,othe32,testother44,Beira44,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay45,test45,85206885,86224045,sanjay45@gmail.in,Self-Employed45,450 days,nothig45,1_usd ,test,financial_bank_gaurante,othe33,testother45,Beira45,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay46,test46,85206886,86224046,sanjay46@gmail.in,Self-Employed46,460 days,nothig46,2_usd,test,financial_bank_gaurante,othe34,testother46,Beira46,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay47,test47,85206887,86224047,sanjay47@gmail.in,Self-Employed47,470 days,nothig47,1_usd ,test,financial_bank_gaurante,othe35,testother47,Beira47,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay48,test48,85206888,86224048,sanjay48@gmail.in,Self-Employed48,480 days,nothig48,2_usd,test,financial_bank_gaurante,othe36,testother48,Beira48,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
Website,03/04/2024,sanjay49,test49,85206889,86224049,sanjay49@gmail.in,Self-Employed49,490 days,nothig49,1_usd ,test,financial_bank_gaurante,othe37,testother49,Beira49,India,04/05/2024,Didymus Mareya,Sales1@euroeximbank-sales.com,test,test
